bodyId,type,superclass,class,rootSide,entryNerve,mancType,status
817245,SNpp39,vnc_sensory,mechanosensory_proprioceptive,R,ProLN,SNpp39,Traced
817298,SNpp41,vnc_sensory,mechanosensory_proprioceptive,L,ProLN,SNpp41,Traced
817680,SNpp51,vnc_sensory,mechanosensory_proprioceptive,L,ProLN,SNpp51,Traced
817992,SNpp51,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp51,Traced
818478,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp50,Traced
818930,SNpp51,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp51,Traced
819219,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp50,Traced
819500,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp50,Traced
819524,SNpp41,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp41,Traced
819559,SNpp41,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp41,Traced
819633,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp50,Traced
819655,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp50,Traced
819822,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp50,Traced
820328,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp50,Traced
820887,SNpp41,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp41,Traced
821363,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp50,Traced
821947,SNpp51,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp51,Traced
822285,SNpp41,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp41,Traced
822523,SNpp51,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp51,Traced
822975,SNpp51,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp51,Traced
823347,SNpp39,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp39,Traced
823935,SNpp51,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp51,Traced
824107,SNpp41,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp41,Traced
824431,SNpp51,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp51,Traced
824940,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp50,Traced
826324,SNpp51,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp51,Traced
826386,SNpp41,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp41,Traced
828434,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp50,Traced
828811,SNpp51,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp51,Traced
829872,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp50,Traced
832162,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp50,Traced
833439,SNpp39,vnc_sensory,mechanosensory_proprioceptive,R,ProLN,SNpp39,Traced
834985,SNpp51,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp51,Traced
847034,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp50,Traced
875542,SNpp51,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp51,Traced
902316,SNpp51,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp51,Traced
903209,SNpp39,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp39,Traced
903377,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp50,Traced
903471,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp50,Traced
903831,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp50,Traced
903843,SNpp39,vnc_sensory,mechanosensory_proprioceptive,L,ProLN,SNpp39,Traced
905218,SNpp39,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp39,Traced
905219,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp50,Traced
905407,SNpp41,vnc_sensory,mechanosensory_proprioceptive,R,ProLN,SNpp41,Traced
905668,SNpp39,vnc_sensory,mechanosensory_proprioceptive,R,ProLN,SNpp39,Traced
906018,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp50,Traced
907742,SNpp39,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp39,Traced
907744,SNpp39,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp39,Traced
908277,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp50,Traced
908278,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp50,Traced
908603,SNpp51,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp51,Traced
908702,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp50,Traced
908723,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp50,Traced
908773,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp50,Traced
908774,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp50,Traced
909035,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp50,Traced
909036,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp50,Traced
909240,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp50,Traced
909477,SNpp39,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp39,Traced
909478,SNpp39,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp39,Traced
909548,SNpp39,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp39,Traced
909549,SNpp39,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp39,Traced
910406,SNpp51,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp51,Traced
910408,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp50,Traced
910413,SNpp39,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp39,Traced
910836,SNpp39,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp39,Traced
